%time,field.ts.sec,field.ts.nsec,field.intrinsic,field.pos0.x,field.pos0.y,field.pos0.z,field.pos0.qw,field.pos0.qx,field.pos0.qy,field.pos0.qz,field.pos_cov0.cov0,field.pos_cov0.cov1,field.pos_cov0.cov2,field.pos_cov0.cov3,field.pos_cov0.cov4,field.pos_cov0.cov5,field.pos_cov0.cov6,field.pos_cov0.cov7,field.pos_cov0.cov8,field.pos_cov0.cov9,field.pos_cov0.cov10,field.pos_cov0.cov11,field.pos_cov0.cov12,field.pos_cov0.cov13,field.pos_cov0.cov14,field.pos_cov0.cov15,field.pos_cov0.cov16,field.pos_cov0.cov17,field.pos_cov0.cov18,field.pos_cov0.cov19,field.pos_cov0.cov20,field.pos_cov0.cov21,field.pos_cov0.cov22,field.pos_cov0.cov23,field.pos_cov0.cov24,field.pos_cov0.cov25,field.pos_cov0.cov26,field.pos_cov0.cov27
1498756668928273916,1498750340,903281000,0,0.0574040710926,0.0126762641594,0.109153702855,-0.999997496605,-0.0013596114004,0.000347097346094,-0.00177595554851,2.85166196499e-07,0.0,2.85166196499e-07,0.0,0.0,2.85166196499e-07,0.0,0.0,0.0,1.42776551978e-11,0.0,0.0,0.0,-3.87714241165e-09,2.85165669357e-06,0.0,0.0,0.0,-9.89801822131e-10,1.34574921045e-12,2.85166162143e-06,0.0,0.0,0.0,-5.06441221093e-09,-6.88564981583e-12,1.75784843853e-12,2.85165297079e-06
1498756668928587913,1498750340,911615000,0,0.0574064441025,0.0126903532073,0.109182655811,-0.999997258186,-0.00137361232191,0.000591726740822,-0.00184406165499,3.12081295753e-07,0.0,3.12081295753e-07,0.0,0.0,3.12081295753e-07,0.0,0.0,0.0,1.71133517316e-11,0.0,0.0,0.0,-4.28677537927e-09,3.12080706914e-06,0.0,0.0,0.0,-1.84666341685e-09,2.53660657872e-12,3.1208118648e-06,0.0,0.0,0.0,-5.75495572832e-09,-7.9050997748e-12,3.40537053359e-12,3.120802345e-06
1498756668936279058,1498750340,919948000,0,0.0574241615832,0.0126047758386,0.108908653259,-0.999997198582,-0.00159338535741,-0.000850817537867,-0.00153740844689,2.8116261e-07,0.0,2.8116261e-07,0.0,0.0,2.8116261e-07,0.0,0.0,0.0,1.57530595781e-11,0.0,0.0,0.0,-4.47999130788e-09,2.81161896162e-06,0.0,0.0,0.0,2.3921740943e-09,-3.81166585231e-12,2.81162406469e-06,0.0,0.0,0.0,-4.32260560618e-09,-6.88759577378e-12,-3.67775896196e-12,2.81161945437e-06
1498756668944936037,1498750340,928282000,0,0.0574306882918,0.0126926517114,0.108972303569,-0.999996185303,-0.00199437444098,-0.000717229151633,-0.00176739087328,2.8118969522e-07,0.0,2.8118969522e-07,0.0,0.0,2.8118969522e-07,0.0,0.0,0.0,2.14530303111e-11,0.0,0.0,0.0,-5.60795401942e-09,2.8118857678e-06,0.0,0.0,0.0,2.01676677212e-09,-4.02220344723e-12,2.81189550571e-06,0.0,0.0,0.0,-4.96970205195e-09,-9.91148456103e-12,-3.56442878381e-12,2.81188816876e-06
1498756668953139066,1498750340,936615000,0,0.0573921538889,0.0126876952127,0.109108090401,-0.999997377396,-0.00135791942012,3.73051552742e-05,-0.00183697149623,2.62161935528e-07,0.0,2.62161935528e-07,0.0,0.0,2.62161935528e-07,0.0,0.0,0.0,1.37509227243e-11,0.0,0.0,0.0,-3.55993849836e-09,2.62161452116e-06,0.0,0.0,0.0,-9.77996606283e-11,1.32804406741e-13,2.62161935164e-06,0.0,0.0,0.0,-4.81582739958e-09,-6.5395227004e-12,1.79655660081e-13,2.62161050872e-06
1498756668962007999,1498750340,944949000,0,0.0574248880148,0.0127664469182,0.109129182994,-0.999996781349,-0.0014535645023,0.000259955326328,-0.00206259055994,3.12116412715e-07,0.0,3.12116412715e-07,0.0,0.0,3.12116412715e-07,0.0,0.0,0.0,2.00918426068e-11,0.0,0.0,0.0,-4.53679877866e-09,3.1211575326e-06,0.0,0.0,0.0,-8.11360627702e-10,1.17936880297e-12,3.12116391623e-06,0.0,0.0,0.0,-6.43766294404e-09,-9.35758845204e-12,1.67351015785e-12,3.12115084885e-06
1498756668969842910,1498750340,953282000,0,0.05741462484,0.0126795219257,0.109164431691,-0.999997496605,-0.00131625356153,0.00049962970661,-0.00177985848859,3.08969681678e-07,0.0,3.08969681678e-07,0.0,0.0,3.08969681678e-07,0.0,0.0,0.0,1.546944426e-11,0.0,0.0,0.0,-4.06681425825e-09,3.0896914638e-06,0.0,0.0,0.0,-1.54370044958e-09,2.03190630135e-12,3.0896960455e-06,0.0,0.0,0.0,-5.49920933978e-09,-7.23837199957e-12,2.74757522729e-12,3.08968702894e-06
1498756668977989912,1498750340,961615000,0,0.0574258565903,0.012795323506,0.109060257673,-0.999996542931,-0.00147698400542,3.34159699378e-06,-0.0021643305663,2.89189672348e-07,0.0,2.89189672348e-07,0.0,0.0,2.89189672348e-07,0.0,0.0,0.0,1.99949407619e-11,0.0,0.0,0.0,-4.27127043978e-09,2.89189041486e-06,0.0,0.0,0.0,-9.66351998992e-12,1.42729138036e-14,2.89189672345e-06,0.0,0.0,0.0,-6.25899883534e-09,-9.24447312854e-12,2.09151239973e-14,2.89188317689e-06
1498756668986656904,1498750340,969949000,0,0.0574092678726,0.0126666780561,0.109213858843,-0.999997317791,-0.00155261496548,0.000434317887994,-0.00171330734156,2.86919853189e-07,0.0,2.86919853189e-07,0.0,0.0,2.86919853189e-07,0.0,0.0,0.0,1.53915596938e-11,0.0,0.0,0.0,-4.45474863093e-09,2.86919161536e-06,0.0,0.0,0.0,-1.24614090418e-09,1.93478220642e-12,2.86919799067e-06,0.0,0.0,0.0,-4.91580572383e-09,-7.63237400581e-12,2.13502808635e-12,2.86919010958e-06
1498756668994678974,1498750340,978282000,0,0.0573974885046,0.0128089208156,0.109060160816,-0.99999666214,-0.00127539748792,2.19904613914e-05,-0.00225623394363,2.92000779203e-07,0.0,2.92000779203e-07,0.0,0.0,2.92000779203e-07,0.0,0.0,0.0,1.9493122512e-11,0.0,0.0,0.0,-3.72415817189e-09,2.92000304223e-06,0.0,0.0,0.0,-6.42121042815e-11,8.18962298526e-14,2.92000779062e-06,0.0,0.0,0.0,-6.58819870547e-09,-8.40260012556e-12,1.44878012854e-13,2.91999292746e-06
1498756669003062963,1498750340,986616000,0,0.0574120655656,0.0127070415765,0.109242111444,-0.999997019768,-0.00136901496444,0.000733463617507,-0.0018808839377,3.14926386219e-07,0.0,3.14926386219e-07,0.0,0.0,3.14926386219e-07,0.0,0.0,0.0,1.87710474099e-11,0.0,0.0,0.0,-4.31137650536e-09,3.14925795983e-06,0.0,0.0,0.0,-2.3098635809e-09,3.16224723229e-12,3.14926216798e-06,0.0,0.0,0.0,-5.92338216087e-09,-8.10922298569e-12,4.3445982555e-12,3.14925272096e-06
1498756669011584043,1498750340,994949000,0,0.0574420616031,0.012580934912,0.109068647027,-0.999997198582,-0.00186899327673,-0.000277102721157,-0.00141717912629,2.41242295011e-07,0.0,2.41242295011e-07,0.0,0.0,2.41242295011e-07,0.0,0.0,0.0,1.35163926884e-11,0.0,0.0,0.0,-4.50878964334e-09,2.41241452319e-06,0.0,0.0,0.0,6.68487091339e-10,-1.24940137939e-12,2.41242276487e-06,0.0,0.0,0.0,-3.4188258711e-09,-6.38978046784e-12,-9.47368606017e-13,2.41241810501e-06
