%time,field.ts.sec,field.ts.nsec,field.intrinsic,field.pos0.x,field.pos0.y,field.pos0.z,field.pos0.qw,field.pos0.qx,field.pos0.qy,field.pos0.qz,field.pos_cov0.cov0,field.pos_cov0.cov1,field.pos_cov0.cov2,field.pos_cov0.cov3,field.pos_cov0.cov4,field.pos_cov0.cov5,field.pos_cov0.cov6,field.pos_cov0.cov7,field.pos_cov0.cov8,field.pos_cov0.cov9,field.pos_cov0.cov10,field.pos_cov0.cov11,field.pos_cov0.cov12,field.pos_cov0.cov13,field.pos_cov0.cov14,field.pos_cov0.cov15,field.pos_cov0.cov16,field.pos_cov0.cov17,field.pos_cov0.cov18,field.pos_cov0.cov19,field.pos_cov0.cov20,field.pos_cov0.cov21,field.pos_cov0.cov22,field.pos_cov0.cov23,field.pos_cov0.cov24,field.pos_cov0.cov25,field.pos_cov0.cov26,field.pos_cov0.cov27
1498758272873819112,1498751287,808780000,0,0.0549538582563,0.0149286035448,0.108497209847,-0.999953389168,-0.00142071372829,-0.00169942213688,0.00940077379346,6.55678324139e-07,0.0,6.55678324139e-07,0.0,0.0,6.55678324139e-07,0.0,0.0,0.0,6.11220001992e-10,0.0,0.0,0.0,-9.31487777004e-09,6.556770007e-06,0.0,0.0,0.0,1.11422232146e-08,-1.58306473644e-11,6.55676430517e-06,0.0,0.0,0.0,6.16359630276e-08,8.75711405937e-11,1.047504025e-10,6.55620378863e-06
1498758272874106884,1498751287,817114000,0,0.0549562722445,0.0149636343122,0.108500525355,-0.999954104424,-0.00152701162733,-0.00170378759503,0.00931109022349,6.74095523339e-07,0.0,6.74095523339e-07,0.0,0.0,6.74095523339e-07,0.0,0.0,0.0,6.1874585371e-10,0.0,0.0,0.0,-1.02930445938e-08,6.74093951507e-06,0.0,0.0,0.0,1.14846287875e-08,-1.75379666091e-11,6.74093566512e-06,0.0,0.0,0.0,6.27627617053e-08,9.58438656969e-11,1.06939322865e-10,6.74037081683e-06
1498758272874355077,1498751287,825447000,0,0.0549690946937,0.0149545650929,0.108480893075,-0.999954640865,-0.00161428307183,-0.00173541542608,0.00922556314617,6.57699029127e-07,0.0,6.57699029127e-07,0.0,0.0,6.57699029127e-07,0.0,0.0,0.0,5.96639644908e-10,0.0,0.0,0.0,-1.06166425072e-08,6.57697315223e-06,0.0,0.0,0.0,1.14132926881e-08,-1.84251209278e-11,6.57697048357e-06,0.0,0.0,0.0,6.06736870131e-08,9.79489487304e-11,1.05298828664e-10,6.57643051695e-06
1498758272874599933,1498751287,833781000,0,0.054947860539,0.0149305351079,0.108528338373,-0.999952971935,-0.00167517620139,-0.00159876875114,0.00942528154701,6.81592788707e-07,0.0,6.81592788707e-07,0.0,0.0,6.81592788707e-07,0.0,0.0,0.0,6.41064721335e-10,0.0,0.0,0.0,-1.1417343226e-08,6.81590876011e-06,0.0,0.0,0.0,1.08965800467e-08,-1.82545500469e-11,6.81591046514e-06,0.0,0.0,0.0,6.4239018161e-08,1.07616735431e-10,1.02708165006e-10,6.81532238776e-06
1498758272874835968,1498751287,842114000,0,0.0549456737936,0.0149359302595,0.108503609896,-0.99995392561,-0.00138889951631,-0.00169115071185,0.0093474118039,6.13193771315e-07,0.0,6.13193771315e-07,0.0,0.0,6.13193771315e-07,0.0,0.0,0.0,5.65037567167e-10,0.0,0.0,0.0,-8.51625292462e-09,6.13192588439e-06,0.0,0.0,0.0,1.03695530358e-08,-1.4402930802e-11,6.13192017586e-06,0.0,0.0,0.0,5.73151060804e-08,7.96085910299e-11,9.69329485742e-11,6.13140194057e-06
1498758272875176906,1498751287,850447000,0,0.0549591854215,0.014930636622,0.10856552422,-0.999954164028,-0.00129661976825,-0.00134726089891,0.00939325336367,6.483158771e-07,0.0,6.483158771e-07,0.0,0.0,6.483158771e-07,0.0,0.0,0.0,5.9431014492e-10,0.0,0.0,0.0,-8.40580651724e-09,6.48314787137e-06,0.0,0.0,0.0,8.73410595901e-09,-1.13253335522e-11,6.48314700334e-06,0.0,0.0,0.0,6.08951616161e-08,7.8961489619e-11,8.20454308102e-11,6.4825867411e-06
1498758272883802890,1498751287,858781000,0,0.0549577251077,0.0149448132142,0.108455859125,-0.999953567982,-0.00133697851561,-0.00189944251906,0.00936269853264,6.41690034581e-07,0.0,6.41690034581e-07,0.0,0.0,6.41690034581e-07,0.0,0.0,0.0,5.95885433912e-10,0.0,0.0,0.0,-8.5788595469e-09,6.41688887552e-06,0.0,0.0,0.0,1.21879674192e-08,-1.62958072356e-11,6.41687719439e-06,0.0,0.0,0.0,6.00767138392e-08,8.03250053436e-11,1.1411756338e-10,6.41633783953e-06
1498758272891824007,1498751287,867114000,0,0.0549656935036,0.0149666601792,0.108450815082,-0.999954462051,-0.00151979667135,-0.00179328734521,0.0092552844435,7.51645215301e-07,0.0,7.51645215301e-07,0.0,0.0,7.51645215301e-07,0.0,0.0,0.0,6.8455203682e-10,0.0,0.0,0.0,-1.14229587607e-08,7.51643479165e-06,0.0,0.0,0.0,1.34785447136e-08,-2.04855802617e-11,7.51642798101e-06,0.0,0.0,0.0,6.9563734748e-08,1.05727547132e-10,1.24753446225e-10,7.51580829154e-06
1498758272900294065,1498751287,875448000,0,0.0549629107118,0.0149681558833,0.108529426157,-0.999955117702,-0.00144445034675,-0.0015768596204,0.00923680514097,6.59646297832e-07,0.0,6.59646297832e-07,0.0,0.0,6.59646297832e-07,0.0,0.0,0.0,5.92115539839e-10,0.0,0.0,0.0,-9.52783558603e-09,6.59644921521e-06,0.0,0.0,0.0,1.04012292559e-08,-1.502473355e-11,6.5964465763e-06,0.0,0.0,0.0,6.0927508461e-08,8.80107108463e-11,9.60784400849e-11,6.59590017753e-06
1498758272908822059,1498751287,883781000,0,0.0549420155585,0.0149366464466,0.108460426331,-0.999953150749,-0.00152929208707,-0.00181751267519,0.00938750430942,6.31030297169e-07,0.0,6.31030297169e-07,0.0,0.0,6.31030297169e-07,0.0,0.0,0.0,5.91252082824e-10,0.0,0.0,0.0,-9.64984429246e-09,6.31028821357e-06,0.0,0.0,0.0,1.14685183187e-08,-1.75395360293e-11,6.31028212653e-06,0.0,0.0,0.0,5.92352210847e-08,9.05921990573e-11,1.07665809202e-10,6.30974687474e-06
